Line	logopath	ArticleFamily	ArticleReference	OptionReference	Pcs	Sale	News	InWebshop	Weight	RetailUnitPrice	ResellerUnitPrice	ResellerUnitDiscountPrice	DiscountQty	Thickness	LengthDiameter	Ballsize1	Ballsize2	SizeIn	Type	Type(de)	Type(fr)	Type(it)	Type(ch)	Type(pl)	Type(es)	Description	Description(de)	Description(fr)	Description(es)	Description(it)	Description(pl)	Description(ch)	BodyParts
STERLING SILVER	JCE22	JCE22	JCE22	-	1		YES	YES	28	69	24	22	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution CLUBS	Crystal Evolution Kreuz	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE23	JCE23	JCE23	-	1		YES	YES	28	49	17	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution CLUBS	Crystal Evolution Kreuz	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE24-CC	JCE24-CC	JCE24-CC	S-CC	1		YES	YES	28	55	19	17	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution KNIGHT	Crystal Evolution Pferd	Crystal Evolution	Crystal Evolution				
STERLING SILVER		JCE24-BK	JCE24-BK	S-BK	1				28	55	19	17	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution KNIGHT	Crystal Evolution Pferd	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE25-CC	JCE25-CC	JCE25-CC	S-CC	1		YES	YES	28	49	17	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution QUEEN	Crystal Evolution Königin	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE25-BK	JCE25-BK	JCE25-BK	S-BK	1		YES	YES	28	49	17	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution QUEEN	Crystal Evolution Königin	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE26-CC	JCE26-CC	JCE26-CC	S-CC	1		YES	YES	28	49	17	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution KING	Crystal Evolution König 	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE26-BK	JCE26-BK	JCE26-BK	S-BK	1		YES	YES	28	49	17	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution KING	Crystal Evolution König 	Crystal Evolution	Crystal Evolution				
STERLING SILVER		JCE27-CC	JCE27-CC	S-CC	1				28	49	17	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution PAWN	Crystal Evolution Bauer	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE27-BK	JCE27-BK	JCE27-BK	S-BK	1		YES	YES	28	49	17	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution PAWN	Crystal Evolution Bauer	Crystal Evolution	Crystal Evolution				
